Periodo;# Clicks;# Registros IN;# Primer depósito IN;Total depositado IN;# Personas que apostaron IN;Total apostado;Net revenue IN
2022-08-04;3;;;;;;
2022-08-08;1;;;;;;
2022-08-09;1;;;;;;
2022-11-03;;0;0;194,5249;1;194,5249;160,4830425
2022-11-04;;0;0;0;1;44,17412175;6,67520062
2022-11-05;;0;0;0;1;27,94059948;-38,26475128
2022-11-06;;0;0;0;1;66,08788119;66,08788119
2022-11-08;;0;0;97,72458;1;368,7050583;78,179664
2022-11-09;;0;0;0;1;50,9031416;-66,36262078
2022-11-10;;0;0;0;1;83,70114048;31,9691856
2022-11-11;3;;;;;;
2022-11-11;;0;0;0;1;14,38702842;14,38702842
2022-11-12;;0;0;0;1;132,7286637;24,10080229
2022-11-13;;0;0;0;1;75,78181395;14,03366925
2022-11-16;1;;;;;;
2022-11-20;;0;0;18,622702;1;18,622702;-4,84190252
2022-11-21;;0;0;0;1;50,21611481;-32,39307281
2022-11-22;;0;0;0;1;247,9016483;36,52576918
2022-11-23;10655;423;143;1380,459312;41;1566,315544;-1443,883233
2022-11-23;;0;0;18,69781;1;37,21051065;-0,364607304
2022-11-24;18707;1324;659;14503,85902;782;46617,38822;-5748,419285
2022-11-24;;0;0;0;1;55,38895266;-24,97507097
2022-11-25;9705;112;64;2093,406886;559;18538,05199;3308,869547
2022-11-25;;0;0;0;1;159,5681458;63,15330951
2022-11-26;8711;53;54;4840,994872;502;17486,10851;-2026,837826
2022-11-27;7980;43;37;3343,945184;493;25492,03946;716,9593082
2022-11-28;8217;30;42;5848,122926;598;34299,09873;7,527586041
2022-11-29;6208;14;25;2913,772029;442;27821,04171;-1435,058235
2022-11-30;6647;17;28;3008,933024;465;29197,09328;965,4274803
2022-12-01;6103;20;24;2007,409539;422;27792,25754;4149,775367
2022-12-01;;0;0;19,00866;1;78,5057658;-4,902599708
2022-12-02;6758;41;33;6426,183158;510;33717,9693;1239,065467
2022-12-03;5270;18;22;4666,357108;381;19612,87928;1305,30793
2022-12-04;5870;4;9;6658,58058;384;24657,30655;-1259,019573
